county,year,Single Family,Multifamily,Residential,Commercial,Institutional,Industrial,Municipal,Irrigation,Agricultural,Other,Self Supplied,New Commercial,Anheuser-Busch,NRW
Cobb,2056,47.69309149,13.66297025,,21.99730011,2.802451684,1.719027221,0.000630046,3.420714239,,0.002396371,,0.00256548,,8.644068398
Cobb,2057,47.91626108,13.72690319,,22.10023176,2.815565156,1.72707104,0.000632994,3.436720738,,0.002407584,,0.002577484,,8.684516463
Cobb,2058,48.12281616,13.78607645,,22.19550036,2.827702356,1.734516014,0.000635723,3.451535586,,0.002417963,,0.002588595,,8.721953251
Cobb,2059,48.36338228,13.8549931,,22.30645574,2.84183805,1.743186865,0.000638901,3.468789824,,0.00243005,,0.002601536,,8.765554324
Cobb,2060,48.56024863,13.91139076,,22.39725565,2.85340594,1.750282623,0.000641502,3.482909763,,0.002439942,,0.002612125,,8.801235095
Cobb,2061,48.75558387,13.9673498,,22.48734936,2.864883862,1.757323194,0.000644082,3.496919885,,0.002449757,,0.002622633,,8.83663836
Cobb,2062,48.9624834,14.02662174,,22.58277683,2.877041303,1.764780582,0.000646815,3.511759438,,0.002460152,,0.002633762,,8.874137579
Cobb,2063,49.17208522,14.08666783,,22.67945067,2.88935753,1.772335371,0.000649584,3.526792808,,0.002470684,,0.002645037,,8.91212657
Cobb,2064,49.36252428,14.14122423,,22.76728614,2.900547752,1.779199467,0.0006521,3.54045176,,0.002480253,,0.002655281,,8.946642436
Cobb,2065,49.5371159,14.1912407,,22.84781235,2.910806776,1.785492364,0.000654406,3.552974077,,0.002489025,,0.002664673,,8.978286051
Coweta,2020,7.177923793,0.941542358,,1.359377803,0.214721585,0.862315863,1.194484429,0.513317219,,,0.715025696,0.000373754,,1.438710446
Coweta,2021,7.331802921,0.961726986,,1.388519916,0.21932475,0.880802046,1.220091586,0.524321628,,,0.730354297,0.000381767,,1.469553279
Coweta,2022,7.484735243,0.981787419,,1.417482721,0.223899593,0.899174485,1.245541185,0.535258327,,,0.745588582,0.00038973,,1.50020634
